DeviceName,Dew_Point,Indoor_Humidity,Indoor_Temperature,Outdoor_Humidity,Outdoor_Temperature,Discharge_Pressure,Discharge_Temperature,kW,Power_Factor,Volts_Line_to_Line,Volts_Line_to_Neutral
store0025-RackA,53.44,53.63,70.29,,93.16,255.8,,31.1,0.71,610.2,351.5
store0025-RackA,53.55,53.63,70.29,,93.11,261.2,,31.2,0.71,611.0,352.0
store0025-RackA,53.55,53.63,70.29,,93.02,261.2,,31.9,0.71,610.5,351.7
store0025-RackA,53.69,53.83,70.29,,93.02,256.2,,31.3,0.71,608.6,350.6
store0025-RackA,53.58,53.83,70.29,,92.86,256.2,,31.0,0.72,608.1,350.3
store0025-RackA,53.58,52.16,70.29,,92.86,255.7,,31.6,0.71,608.2,350.5
store0025-RackA,53.58,52.16,70.29,,92.89,257.2,,30.5,0.71,607.0,349.8
store0025-RackA,52.77,52.83,70.29,,92.95,257.6,,31.3,0.71,607.9,350.3
store0025-RackA,53.04,52.66,70.29,,92.8,257.6,,31.3,0.72,607.0,349.7
store0025-RackA,52.95,52.41,70.29,,92.43,257.6,,31.7,0.71,609.3,351.1
store0025-RackA,52.95,52.41,70.29,,92.34,257.6,,31.0,0.71,609.9,351.5
store0025-RackA,52.95,52.41,70.29,,92.34,257.6,,31.3,0.71,609.7,351.3
store0025-RackA,52.48,52.56,70.29,,92.34,257.6,,31.4,0.71,610.0,351.5
store0025-RackA,52.48,52.56,70.29,,92.16,256.9,,30.8,0.71,610.4,351.7
store0025-RackA,52.47,52.56,70.29,,92.16,256.9,,31.0,0.71,610.4,351.7
store0025-RackA,52.47,53.13,70.29,,92.16,256.0,,31.4,0.7,611.3,352.2
store0025-RackA,52.47,51.61,70.29,,91.9,254.4,,31.1,0.71,611.4,352.3
store0025-RackA,52.75,51.61,70.29,,92.03,254.4,,31.2,0.71,611.7,352.5
store0025-RackA,52.75,51.61,70.29,,92.03,254.4,,31.3,0.71,611.5,352.4
store0025-RackA,53.1,51.61,70.29,,91.99,254.4,,31.7,0.71,611.3,352.2
store0025-RackA,53.1,51.61,70.29,,91.94,259.8,,31.6,0.71,611.6,352.4
store0025-RackA,52.54,51.61,70.29,,91.94,260.8,,31.8,0.71,612.0,352.7
store0025-RackA,52.43,51.61,70.29,,91.81,260.8,,32.6,0.71,611.7,352.4
store0025-RackA,52.43,51.61,70.29,,91.72,263.0,,31.9,0.71,610.8,352.0
store0025-RackA,52.0,51.83,70.29,,91.56,258.2,,31.9,0.71,611.2,352.2
store0025-RackA,52.0,51.83,70.29,,91.65,263.8,,30.9,0.71,608.8,350.8
store0025-RackA,52.0,51.83,69.98,,91.65,263.8,,40.7,0.79,608.6,350.7
store0025-RackA,51.78,51.21,69.93,,91.65,263.8,,40.8,0.79,608.9,350.8
store0025-RackA,51.84,51.21,69.93,,91.35,272.1,,40.3,0.78,609.5,351.2
store0025-RackA,52.56,51.21,69.93,,91.29,272.1,,40.7,0.78,609.5,351.2
store0025-RackA,52.36,52.06,69.93,,91.29,272.1,,31.9,0.71,609.5,351.3
store0025-RackA,52.5,52.06,69.93,,91.29,285.4,,41.0,0.78,610.4,351.7
store0025-RackA,52.38,52.06,70.02,,91.08,289.4,,40.7,0.78,611.3,352.3
store0025-RackA,52.25,51.73,70.02,,90.82,288.0,,40.7,0.78,610.3,351.7
store0025-RackA,52.25,51.73,70.02,,90.82,289.3,,41.5,0.78,608.7,350.9
store0025-RackA,52.25,52.08,70.02,,90.82,289.3,,41.9,0.79,610.2,351.7
store0025-RackA,52.25,52.36,70.02,,90.7,289.0,,41.0,0.78,609.3,351.1
store0025-RackA,52.25,52.36,70.02,,90.7,289.0,,39.1,0.77,609.2,351.1
store0025-RackA,52.25,52.63,70.02,,90.64,289.6,,39.7,0.78,609.8,351.3
store0025-RackA,51.21,50.51,70.02,,90.52,256.5,,38.9,0.77,610.4,351.8
store0025-RackA,51.21,50.51,69.87,,90.39,248.7,,39.2,0.78,610.9,352.0
store0025-RackA,51.21,50.51,69.87,,90.3,248.7,,40.6,0.78,609.7,351.4
store0025-RackA,52.16,51.58,69.87,,90.3,249.1,,40.0,0.78,611.2,352.2
store0025-RackA,52.16,51.78,69.87,,90.21,249.0,,40.2,0.78,611.1,352.1
store0025-RackA,52.16,51.28,69.87,,90.0,249.0,,39.5,0.78,611.9,352.5
store0025-RackA,52.2,51.28,69.84,,88.7,242.3,,40.4,0.78,612.5,353.0
store0025-RackA,51.73,51.56,69.84,,87.67,236.9,,39.7,0.77,614.2,353.9
store0025-RackA,51.73,51.88,69.84,,87.03,236.8,,39.2,0.77,614.3,353.9
store0025-RackA,51.73,51.88,69.84,,86.18,236.8,,30.3,0.7,614.3,354.0
store0025-RackA,51.73,51.88,69.84,,86.18,233.0,,30.2,0.7,615.0,354.4
store0025-RackA,52.65,51.88,69.84,,85.23,233.0,,29.9,0.7,614.7,354.2
store0025-RackA,52.3,51.88,69.84,,83.55,225.4,,30.1,0.69,614.2,353.9
store0025-RackA,52.21,52.28,69.84,,82.58,221.6,,28.2,0.68,614.1,353.8
store0025-RackA,51.96,51.08,69.84,,79.41,178.9,,29.3,0.68,615.0,354.4
store0025-RackA,51.96,51.08,69.84,,78.67,193.9,,29.8,0.69,615.8,354.8
store0025-RackA,51.22,50.21,69.78,,78.67,193.9,,28.8,0.67,616.5,355.2
store0025-RackA,51.64,50.21,69.78,,78.24,199.3,,27.4,0.75,616.6,355.2
store0025-RackA,51.64,50.21,69.78,,77.63,187.4,,27.7,0.75,617.1,355.7
store0025-RackA,51.85,50.21,69.78,,78.06,190.6,,27.5,0.75,618.6,356.5
store0025-RackA,51.85,50.21,69.78,,78.1,190.6,,28.4,0.76,618.5,356.5
store0025-RackA,51.85,52.18,69.78,,77.97,188.4,,28.4,0.75,618.2,356.3
store0025-RackA,51.85,52.18,69.78,,77.94,193.7,,28.4,0.76,613.6,353.6
store0025-RackA,52.12,51.86,69.78,,77.94,193.7,,28.2,0.77,606.8,349.7
store0025-RackA,52.29,51.86,70.07,,77.58,193.7,,28.1,0.76,613.1,353.3
store0025-RackA,52.34,51.38,70.12,,77.14,192.1,,28.4,0.76,612.5,353.0
store0025-RackA,52.23,51.38,70.16,,76.87,192.0,,28.2,0.76,609.7,351.3
store0025-RackA,52.07,50.78,70.29,,76.57,191.2,,28.0,0.76,609.3,351.1
store0025-RackA,51.8,50.98,70.23,,76.48,191.7,,28.5,0.77,610.6,351.8
store0025-RackA,52.02,50.98,70.23,,76.66,186.5,,28.0,0.76,610.8,352.0
store0025-RackA,52.02,50.98,70.23,,76.66,186.5,,28.5,0.77,610.4,351.7
store0025-RackA,52.02,50.98,70.23,,76.66,191.4,,18.6,0.77,610.5,351.9
store0025-RackA,52.02,50.98,70.23,,76.75,191.4,,18.6,0.76,609.5,351.1
store0025-RackA,51.87,50.68,70.25,,76.75,178.7,,18.4,0.76,610.0,351.5
store0025-RackA,51.93,50.68,70.3,,76.75,181.8,,18.6,0.76,609.7,351.3
store0025-RackA,51.93,50.48,70.34,,76.82,182.3,,18.1,0.75,611.1,352.1
store0025-RackA,51.89,50.11,70.34,,76.78,182.0,,18.6,0.76,611.5,352.4
store0025-RackA,51.89,50.11,70.34,,76.78,182.0,,19.1,0.77,610.3,351.6
store0025-RackA,51.89,50.11,70.34,,76.78,182.1,,28.4,0.77,611.0,352.0
store0025-RackA,51.89,50.11,70.34,,76.78,182.9,,28.3,0.76,610.4,351.6
store0025-RackA,51.89,50.08,70.34,,76.96,190.7,,28.3,0.77,609.6,351.2
store0025-RackA,51.89,50.16,70.34,,76.96,191.8,,28.3,0.77,610.0,351.5
